official_sk,last_name,gov_type,num_officials,id,valid_from,name_formal,links,valid_to,chamber_id,party,chamber_type,first_name,city,district_sk,district_id,state
127930,Cancel,STATE,1,128989,2016-05-03 00:00:00+00,New York State Assembly,#,2017-01-01 00:00:00+00,2473,Democrat,LOWER,Alice,,753547,000000000065,NY
4461,Rosenthal,STATE,0,4461,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Linda,,7587,000000000067,NY
1926,Errigo,STATE,0,1926,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Republican,LOWER,Joseph,,7502,000000000130,NY
72896,VACANT,STATE,1,81131,2014-01-12 00:00:00+00,New York State Assembly,#,2015-01-01 00:00:00+00,2473,,LOWER,VACANT,,753581,000000000143,NY
13033,Schimminger,STATE,1,194016,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Robin,,753578,000000000140,NY
29972,Borelli,STATE,1,121953,2013-01-01 00:00:00+00,New York State Assembly,190184,2015-11-10 00:00:00+00,2473,Republican,LOWER,Joseph,,753545,000000000062,NY
9571,Meng,NATIONAL,1,183809,2013-01-03 00:00:00+00,United States House of Representatives,9571,2019-01-03 00:00:00+00,4507,Democrat,LOWER,Grace,,757499,000000000006,NY
7343,McCarthy,NATIONAL,0,7343,2011-01-03 00:00:00+00,United States House of Representatives,#,2013-01-03 00:00:00+00,4507,Democrat,LOWER,Carolyn,,1566,000000000004,NY
3910,Richards,LOCAL,1,68862,2011-04-11 00:00:00+00,Rochester Mayor,#,2014-01-01 00:00:00+00,4291,,EXEC,Thomas,Rochester,329,ROCHESTER,NY
13779,Griffo,STATE,1,194425,2013-01-01 00:00:00+00,New York State Senate,#,2019-01-01 00:00:00+00,4502,Republican,UPPER,Joseph,,753594,000000000047,NY
29972,Borelli,LOCAL,1,190184,2015-11-10 00:00:00+00,New York City Council,121953,2022-01-01 00:00:00+00,1337,Republican,LOWER,Joseph,New York,758875,51,NY
81039,Walker,STATE,1,194034,2015-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Latrice,,753538,000000000055,NY
6300,Diaz,STATE,0,6300,0001-01-01 00:00:00+00,New York State Assembly,#,2009-01-01 00:00:00+00,2473,Democrat,LOWER,Luis,,7568,000000000086,NY
11788,Oaks,STATE,0,11788,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Bob,,7525,000000000128,NY
19102,Kearns,STATE,0,20961,2012-04-24 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Micheal,,7534,000000000145,NY
6602,Tedisco,STATE,1,109559,2013-01-01 00:00:00+00,New York State Assembly,#,2017-01-01 00:00:00+00,2473,Republican,LOWER,James,,753481,000000000112,NY
6221,Koslowitz,LOCAL,1,198876,2014-01-01 00:00:00+00,New York City Council,#,2022-01-01 00:00:00+00,1337,Democrat,LOWER,Karen,New York,758851,29,NY
192774,VACANT,STATE,1,199288,2018-01-01 00:00:00+00,New York State Assembly,#,2018-05-05 00:00:00+00,2473,,LOWER,VACANT,,753521,000000000039,NY
3250,Montesano,STATE,1,200839,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,Michael,,753449,000000000015,NY
3875,Squadron,STATE,1,175025,2013-01-01 00:00:00+00,New York State Senate,#,2017-08-11 00:00:00+00,4502,Democrat,UPPER,Daniel,,753626,000000000026,NY
4614,White,LOCAL,0,4614,2010-01-01 00:00:00+00,New York City Council,#,2010-11-30 00:00:00+00,1337,Democrat,LOWER,Thomas,New York,838,000000000028,NY
1556,Gillibrand,NATIONAL,2,195967,2011-01-03 00:00:00+00,United States Senate,#,2019-01-03 00:00:00+00,2675,Democrat,UPPER,Kirsten,,52,NY,NY
10366,Alfano,STATE,0,10366,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Republican,LOWER,Tom,,7604,000000000021,NY
8158,Rayo,LOCAL,1,8158,2010-01-01 00:00:00+00,Syracuse Common Council,#,2011-12-01 00:00:00+00,4487,,LOWER,Matthew,Syracuse,458,000000000001,NY
11355,Serrano,STATE,0,11355,2011-01-01 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Democrat,UPPER,José,,3634,000000000028,NY
107393,Donovan,NATIONAL,1,185603,2015-05-12 00:00:00+00,United States House of Representatives,#,2019-01-03 00:00:00+00,4507,Republican,LOWER,Daniel,,757517,000000000011,NY
15449,Jeffries,NATIONAL,1,197829,2013-01-03 00:00:00+00,United States House of Representatives,15449,2019-01-03 00:00:00+00,4507,Democrat,LOWER,Hakeem,,757501,000000000008,NY
10123,Rangel,NATIONAL,1,104090,2013-01-03 00:00:00+00,United States House of Representatives,#,2017-01-03 00:00:00+00,4507,Democrat,LOWER,Charles,,757519,000000000013,NY
198765,VACANT,STATE,1,198765,2018-04-30 00:00:00+00,New York State Assembly,#,,2473,,LOWER,VACANT,,753565,000000000087,NY
5769,Palmesano,STATE,1,193975,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,Philip,,753505,000000000132,NY
15264,Mitchell,LOCAL,0,15264,0001-01-01 00:00:00+00,New York City Council,#,0001-01-02 00:00:00+00,1337,,LOWER,Kenneth,New York,1375,000000000049,NY
11036,Abinanti,STATE,1,193828,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Thomas,,753459,000000000092,NY
52575,VACANT,STATE,1,68410,2013-04-09 17:19:42+00,New York State Assembly,#,2013-12-01 00:00:00+00,2473,,LOWER,VACANT,,753563,000000000086,NY
9611,Sampson,STATE,0,9611,2011-01-01 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Democrat,UPPER,John,,3653,000000000019,NY
6816,Tonko,STATE,0,6816,0001-01-01 00:00:00+00,New York State Assembly,#,2007-06-29 00:00:00+00,2473,Democrat,LOWER,Paul,,7500,000000000105,NY
11389,Katz,LOCAL,0,11389,0001-01-01 00:00:00+00,New York City Council,191358,2009-12-31 00:00:00+00,1337,Democrat,LOWER,Melinda,New York,846,000000000029,NY
5469,Gordon,STATE,0,5469,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Independence Party,LOWER,Tim,,7514,000000000108,NY
81069,Seawright,STATE,1,199853,2015-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Rebecca,,753491,000000000076,NY
237,Hall,NATIONAL,0,237,2009-01-03 00:00:00+00,United States House of Representatives,#,2011-01-03 00:00:00+00,4507,Democrat,LOWER,John,,1537,000000000019,NY
1458,Spano,STATE,0,1458,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Republican,LOWER,Mike,,7554,000000000093,NY
5524,Millman,STATE,1,62338,2013-01-01 00:00:00+00,New York State Assembly,#,2015-01-01 00:00:00+00,2473,Democrat,LOWER,Joan,,753534,000000000052,NY
81141,Wozniak,STATE,1,109363,2015-01-01 00:00:00+00,New York State Assembly,#,2017-01-01 00:00:00+00,2473,Republican,LOWER,Angela,,753581,000000000143,NY
12034,Losquadro,STATE,0,20962,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Daniel,,7577,000000000001,NY
2220,Gunther,STATE,0,2220,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Aileen,,7542,000000000098,NY
10454,Titone,STATE,1,194029,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Matthew,,753543,000000000061,NY
17513,Avella,STATE,0,17513,2011-01-01 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Democrat,UPPER,Tony,,3624,000000000011,NY
9152,Johns,STATE,1,193928,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,Mark,,753573,000000000135,NY
10215,Zebrowski,STATE,0,10215,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Kenneth,,7549,000000000094,NY
65715,Kallos,LOCAL,1,194223,2014-01-01 00:00:00+00,New York City Council,#,2022-01-01 00:00:00+00,1337,Democrat,LOWER,Ben,New York,758830,5,NY
13171,Benedetto,STATE,1,193835,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Michael,,753562,000000000082,NY
12166,Paulin,STATE,1,193977,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Amy,,753566,000000000088,NY
15888,Volker,STATE,0,15888,2011-01-01 00:00:00+00,New York State Senate,#,0001-01-02 00:00:00+00,4502,Republican,UPPER,Dale,,3578,000000000059,NY
111,Jordan,STATE,0,111,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Tony,,7522,000000000112,NY
8323,Reilich,STATE,0,8323,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,William,,7527,000000000134,NY
14958,Arcuri,NATIONAL,0,14958,2009-01-03 00:00:00+00,United States House of Representatives,#,2011-01-03 00:00:00+00,4507,Democrat,LOWER,Michael,,1521,000000000024,NY
2087,Espinal,STATE,1,69181,2013-01-01 00:00:00+00,New York State Assembly,#,2014-01-01 00:00:00+00,2473,Democrat,LOWER,Rafael,,753537,000000000054,NY
8178,Trunzo,STATE,0,8178,0001-01-01 00:00:00+00,New York State Senate,#,2009-01-01 00:00:00+00,4502,Republican,UPPER,Caesar,,3625,000000000003,NY
29927,Kim,STATE,1,193931,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Ron,,753519,000000000040,NY
3435,Mayersohn,STATE,0,3435,2011-01-01 00:00:00+00,New York State Assembly,#,2011-09-13 00:00:00+00,2473,Democrat,LOWER,Nettie,,7592,000000000027,NY
16994,Christensen,STATE,0,16994,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Democrat,LOWER,Joan,,7503,000000000119,NY
192891,VACANT,STATE,1,198757,2017-12-31 00:00:00+00,New York State Senate,#,2018-04-30 00:00:00+00,4502,,UPPER,VACANT,,753638,000000000037,NY
12692,Scozzafava,STATE,0,12692,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Republican,LOWER,Dede,,7521,000000000122,NY
10388,Kearns,LOCAL,1,67187,2012-05-11 00:00:00+00,Buffalo Common Council,#,2013-01-01 00:00:00+00,1621,Democrat,LOWER,Michael,Buffalo,392985,SOUTH,NY
898,Barclay,STATE,1,193831,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,William,,753489,000000000120,NY
9629,Lopez,STATE,0,9629,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Peter,,7516,000000000127,NY
4682,Lowey,NATIONAL,0,4682,2011-01-03 00:00:00+00,United States House of Representatives,#,2013-01-03 00:00:00+00,4507,Democrat,LOWER,Nita,,1540,000000000018,NY
182922,Driscoll,LOCAL,1,197465,2018-01-01 00:00:00+00,Syracuse Common Council,#,2020-01-01 00:00:00+00,4487,,LOWER,Joe,Syracuse,1527,000000000005,NY
190529,Greene,LOCAL,5,197466,2018-01-22 00:00:00+00,Syracuse Common Council,#,2018-12-01 00:00:00+00,4487,,LOWER,Michael,Syracuse,2264,At Large,NY
10928,Hunter,LOCAL,5,10928,2011-03-01 00:00:00+00,Syracuse Common Council,193923,2011-12-01 00:00:00+00,4487,,LOWER,Pamela,Syracuse,2264,At Large,NY
3698,Nozzolio,STATE,1,123816,2013-01-01 00:00:00+00,New York State Senate,#,2017-01-01 00:00:00+00,4502,Republican,UPPER,Michael,,753602,000000000054,NY
9839,Higgins,NATIONAL,1,159896,2013-01-03 00:00:00+00,United States House of Representatives,#,2019-01-03 00:00:00+00,4507,Democrat,LOWER,Brian,,757515,000000000026,NY
9642,Weprin,LOCAL,0,9642,0001-01-01 00:00:00+00,New York City Council,#,2010-01-10 00:00:00+00,1337,Democrat,LOWER,David,New York,804,000000000023,NY
10580,Aubertine,STATE,0,10580,2011-01-01 00:00:00+00,New York State Senate,#,0001-01-02 00:00:00+00,4502,Republican,UPPER,Darrel,,3591,000000000048,NY
10859,Hoyt,STATE,0,10859,2011-01-01 00:00:00+00,New York State Assembly,#,2011-09-13 00:00:00+00,2473,Democrat,LOWER,Sam,,7533,000000000144,NY
156064,VACANT,STATE,1,168232,2017-02-16 00:00:00+00,New York State Senate,#,2017-06-05 00:00:00+00,4502,,UPPER,VACANT,,753631,000000000030,NY
17138,Braunstein,STATE,0,17138,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Edward,,7584,000000000026,NY
11036,Abinanti,STATE,0,11036,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Thomas,,7551,000000000092,NY
9847,Stachowski,STATE,0,9847,2011-01-01 00:00:00+00,New York State Senate,#,0001-01-02 00:00:00+00,4502,Democrat,UPPER,William,,3598,000000000058,NY
13459,Hochul,STATE,2,179021,2015-01-01 00:00:00+00,New York Lieutenant Governor,21177,2019-01-01 00:00:00+00,2583,Democrat,EXEC,Kathleen,,619,NY,NY
12767,Englebright,STATE,1,193902,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Steve,,753438,000000000004,NY
14379,Donnery,STATE,0,14379,2011-01-01 00:00:00+00,New York State Assembly,#,0001-01-02 00:00:00+00,2473,Democrat,LOWER,Roxanne ,,7547,000000000096,NY
6004,Zeldin,STATE,0,6004,2011-01-01 00:00:00+00,New York State Senate,200644,2013-01-01 00:00:00+00,4502,Republican,UPPER,Lee ,,3625,000000000003,NY
9486,Miller,STATE,0,20954,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Donald,,7529,000000000121,NY
15289,Murray,STATE,0,40947,2010-02-10 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Dean,,7564,000000000003,NY
357,Eddington,STATE,0,357,2009-01-01 00:00:00+00,New York State Assembly,#,2011-01-01 00:00:00+00,2473,Democrat,LOWER,Patricia,,7564,000000000003,NY
19692,Markowitz,LOCAL,1,70175,2012-06-22 00:00:00+00,Brooklyn Borough President,#,2014-01-01 00:00:00+00,4421,,EXEC,Marty,New York,393970,BROOKLYN,NY
9315,Johnson,STATE,0,9315,2011-01-01 00:00:00+00,New York State Senate,#,0001-01-02 00:00:00+00,4502,Democrat,UPPER,Craig,,3620,000000000007,NY
8831,Gonzalez,STATE,0,8831,0001-01-01 00:00:00+00,New York State Senate,#,2009-01-01 00:00:00+00,4502,Democrat,UPPER,Efrain,,3610,000000000033,NY
7923,Kavanagh,STATE,0,7923,2011-01-01 00:00:00+00,New York State Assembly,194314,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Brian,,7597,000000000074,NY
4899,Jenne,STATE,1,201224,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Addie,,753485,000000000116,NY
191694,Williams,LOCAL,1,196926,2018-01-01 00:00:00+00,Yonkers City Council,#,2020-01-01 00:00:00+00,4427,,LOWER,Shanae,Yonkers,858575,1,NY
121253,Thompson,LOCAL,5,178107,2016-01-01 00:00:00+00,Syracuse Common Council,#,2020-01-01 00:00:00+00,4487,,LOWER,Steven,Syracuse,2264,At Large,NY
17292,Sweeney,STATE,0,17292,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Robert,,7594,000000000011,NY
7957,McKevitt,STATE,0,7957,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Tom,,7591,000000000017,NY
3992,Fitzpatrick,STATE,0,3992,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Republican,LOWER,Michael,,7558,000000000007,NY
3441,Blankenbush,STATE,1,193840,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,Kenneth,,753486,000000000117,NY
18311,Stavisky,STATE,0,18311,2011-01-01 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Democrat,UPPER,Toby,,3626,000000000016,NY
6161,Maisel,STATE,0,6161,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Alan,,7632,000000000059,NY
11547,Markey,STATE,1,109508,2013-01-01 00:00:00+00,New York State Assembly,#,2017-01-01 00:00:00+00,2473,Democrat,LOWER,Margaret,,753507,000000000030,NY
5471,Serrano,NATIONAL,1,177709,2013-01-03 00:00:00+00,United States House of Representatives,#,2019-01-03 00:00:00+00,4507,Democrat,LOWER,José,,757502,000000000015,NY
136292,Helming,STATE,1,200386,2017-01-01 00:00:00+00,New York State Senate,#,2019-01-01 00:00:00+00,4502,Republican,UPPER,Pamela,,753602,000000000054,NY
68033,VACANT,LOCAL,1,69079,2013-11-22 19:38:33+00,Rochester City Council,#,2014-01-01 00:00:00+00,4292,,LOWER,VACANT,Rochester,393434,Northeast,NY
199301,Bohen,STATE,1,199341,2018-05-05 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Republican,LOWER,Erik,,753580,000000000142,NY
29964,Mosley,STATE,1,193962,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Walter,,753539,000000000057,NY
3982,McEneny,STATE,0,3982,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,John,,7512,000000000104,NY
11005,Farley,STATE,1,123685,2013-01-01 00:00:00+00,New York State Senate,#,2017-01-01 00:00:00+00,4502,Republican,UPPER,Hugh,,753596,000000000049,NY
8423,Hannon,STATE,0,8423,2011-01-01 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Republican,UPPER,Kemp,,3637,000000000006,NY
12969,Ceretto,STATE,1,116244,2013-01-01 00:00:00+00,New York State Assembly,#,2017-01-01 00:00:00+00,2473,Democrat,LOWER,John,,753583,000000000145,NY
7305,Padavan,STATE,0,7305,2011-01-01 00:00:00+00,New York State Senate,#,0001-01-02 00:00:00+00,4502,Republican,UPPER,Frank,,3624,000000000011,NY
16854,Magnarelli,STATE,1,193947,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,William,,753501,000000000129,NY
5554,Levin,LOCAL,0,67484,2010-01-01 00:00:00+00,New York City Council,#,2014-01-01 00:00:00+00,1337,Democrat,LOWER,Stephen,New York,1069,000000000033,NY
11745,de Blasio,LOCAL,0,11745,0001-01-01 00:00:00+00,New York City Council,#,2009-12-31 00:00:00+00,1337,Democrat,LOWER,Bill,New York,1127,000000000039,NY
126339,Salamanca,LOCAL,1,190147,2016-03-09 00:00:00+00,New York City Council,#,2022-01-01 00:00:00+00,1337,Democrat,LOWER,Rafael,New York,758844,17,NY
4703,Hevesi,STATE,1,196661,2013-01-01 00:00:00+00,New York State Assembly,#,2019-01-01 00:00:00+00,2473,Democrat,LOWER,Andrew,,753458,000000000028,NY
2905,Martins,STATE,0,20970,2011-01-01 00:00:00+00,New York State Senate,#,2013-01-01 00:00:00+00,4502,Republican,UPPER,Jack,,3620,000000000007,NY
120888,VACANT,STATE,1,121977,2015-07-07 00:00:00+00,New York State Assembly,#,2015-11-03 00:00:00+00,2473,,LOWER,VACANT,,753527,000000000046,NY
81192,Murphy,STATE,1,197517,2015-01-01 00:00:00+00,New York State Senate,#,2019-01-01 00:00:00+00,4502,Republican,UPPER,Terrence,,753642,000000000040,NY
12166,Paulin,STATE,0,12166,2011-01-01 00:00:00+00,New York State Assembly,#,2013-01-01 00:00:00+00,2473,Democrat,LOWER,Amy,,7559,000000000088,NY
11188,Linares,STATE,1,109501,2015-01-01 00:00:00+00,New York State Assembly,#,2017-01-01 00:00:00+00,2473,Democrat,LOWER,Guillermo,,753553,000000000072,NY
7957,McKevitt,STATE,1,192770,2013-01-01 00:00:00+00,New York State Assembly,#,2018-01-01 00:00:00+00,2473,Republican,LOWER,Thomas,,753451,000000000017,NY
9629,Lopez,STATE,1,187132,2013-01-01 00:00:00+00,New York State Assembly,#,2017-10-02 00:00:00+00,2473,Republican,LOWER,Peter,,753470,000000000102,NY
6739,VACANT,STATE,0,6739,0001-01-01 00:00:00+00,New York State Assembly,#,2012-04-24 00:00:00+00,2473,,LOWER,VACANT,,7616,000000000054,NY
6425,Foley,STATE,0,6425,2011-01-01 00:00:00+00,New York State Senate,#,0001-01-02 00:00:00+00,4502,Democrat,UPPER,Brian,,3625,000000000003,NY
86600,Stefanik,NATIONAL,1,185605,2015-01-06 00:00:00+00,United States House of Representatives,#,2019-01-03 00:00:00+00,4507,Republican,LOWER,Elise,,757510,000000000021,NY
